如果你想用这个做码表

你可能会想改的：
词表 异写
嘻* 嬉*
做诗 作诗
拾遗补缺 拾遗补阙
像片 相片
悠哉游哉 优哉游哉
销纳 消纳
爱答不理 爱搭不理
擘划 擘画
绿阴 绿荫
娥眉 蛾眉
发憷 发怵
繁冗 烦冗

你可能会想删其一的：
嘻* 嬉*
部署2094 布署50486
审查2710 审察44218
帷幕5701 帏幕54971
哎呀8456 唉呀25872
稽查8905 稽察26683
以至于9487 以致于31571
畸形12153 畸型51426
醒悟12863 省悟26424
渺小15171 藐小49181
刹车17025 煞车49941
恪尽职守17943 克尽职守54846
仓促18419 仓猝20758
呵斥22575 呵叱40144
掉转24492 调转33247
拨弄25066 播弄34582
各行其是28016 各行其事51382
贻害29478 遗害51650
倒腾31836 捣腾45231
炫目32324 眩目38390
滴答33502 嘀嗒37340
察言观色36432 察颜观色44340
喉结36813 喉节51411
揭秘43208 揭密55716
绵绸55392 棉绸55393

表中括注的异写：
主词 异写
年轻 年青 697
当作 当做 3253
看作 看做 5054
含义 涵义 5924
座位 坐位 6106
作主 做主 6172
交代 交待 6449
盈利 赢利 6729
唯有 惟有 8171
执著 执着 11047
作声 做声 11107
致词 致辞 13207
暗淡 黯淡 14340
唯恐 惟恐 14721
翔实 详实 16642
磨炼 磨练 17453
约摸 约莫 20263
托词 托辞 23558
冷战 冷颤 26622
启航 起航 29555
号啕 嚎啕 30272
小题大作 小题大做 30659
奢糜 奢靡 31899
寒战 寒颤 33395
号哭 嚎哭 34051
撑竿跳高 撑杆跳高 35038
返照 反照 35194
唯我独尊 惟我独尊 35288
词藻 辞藻 35330
呆会儿 待会儿 35335
赠予 赠与 35611
打战 打颤 35797
轶闻 逸闻 35913
义正词严 义正辞严 36398
故步自封 固步自封 36811
洄游 回游 37009
脖梗儿 脖颈儿 39046
瑜伽 瑜珈 40064
疾恶如仇 嫉恶如仇 40160
启行 起行 42990
承想 成想 44092
漫说 慢说 46830
吃里爬外 吃里扒外 48280
糨糊 浆糊 48384
雪里蕻 雪里红 49290
调包 掉包 50140
故伎 故技 50183
邈远 渺远 53352
鱼汛 渔汛 54065
巴儿狗 叭儿狗 55088
啰唆 啰嗦 55763
糜费 靡费 55776
仔鸡 子鸡 55910
泥子 腻子 55939
下三烂 下三滥 55947
唯一 惟一 55975
